LISTINO METEL       ARN052783904882/20132013030120130701LISTINO PREZZI ARNOCANALI                                            020                                                 
ARNPV7575          8018138122299Profilo OMEGA vetroresina 75x75 L3         00006000060000699999940000000640000000006400000001EURPCE0320130301                  71                
ARNPVR10           8018138122305Palo vetroresina d60 1m NERO               00005000050000599999940000000092400000000924000001EURPCE0320130301                  77                
ARNPVR15           8018138122312Palo vetroresina d60 1,5m NERO             00005000050000599999940000000138600000001386000001EURPCE0320130301                  77                
ARNPVR20           8018138122329Palo vetroresina d60 2m NERO               00005000050000599999940000000184800000001848000001EURPCE0320130301                  77                
ARNPVR25           8018138122336Palo vetroresina d60 2,5m NERO             00005000050000599999940000000231000000002310000001EURPCE0320130301                  77                
ARNPVR30           8018138122343Palo vetroresina d60 3m NERO               00005000050000599999940000000277200000002772000001EURPCE0320130301                  77                
ARNPVR35           8018138128734Palo vetroresina d60 3,5m NERO             00005000050000599999940000000323400000003234000001EURPCE0320130301                  77                
ARNPVR40           8018138133622Palo vetroresina d60 4m NERO               00005000050000599999940000000369600000003696000001EURPCE0320130301                  77                
ARNPVR60M          8018138123180Derivazione testapalo d60 +morsetti        00010000100001099999940000000041500000000415000001EURPCE0320130301                  75                
ARNPW060100        8018138182996Curva piana raggiata 100x60 PVC-M1         00001000010000199999940000000290000000002900000001EURPCE0320130301                  68                
ARNPW060150        8018138183009Curva piana raggiata 150x60 PVC-M1         00001000010000199999940000000390000000003900000001EURPCE0320130301                  68                
ARNPW060200        8018138183016Curva piana raggiata 200x60 PVC-M1         00001000010000199999940000000490000000004900000001EURPCE0320130301                  68                
ARNPW060300        8018138183023Curva piana raggiata 300x60 PVC-M1         00001000010000199999940000000720000000007200000001EURPCE0320130301                  68                
ARNPW100           8018138183030Coperchio x curva 100 mm PVC-M1            00001000010000199999940000000120000000001200000001EURPCE0320130301                  68                
ARNPW100200        8018138183078Curva piana raggiata 200x100 PVC-M1        00001000010000199999940000000590000000005900000001EURPCE0320130301                  68                
ARNPW100300        8018138183085Curva piana raggiata 300x100 PVC-M1        00001000010000199999940000000920000000009200000001EURPCE0320130301                  68                
ARNPW100400        8018138183092Curva piana raggiata 400x100 PVC-M1        000010000100001999999B0000001340000000013400000001EURPCE0620130301                  68                
ARNPW100600        8018138183108Curva piana raggiata 600x100 PVC-M1        000010000100001999999B0000001760000000017600000001EURPCE0620130301                  68                
ARNPW150           8018138183047Coperchio x curva 150 mm PVC-M1            00001000010000199999940000000160000000001600000001EURPCE0320130301                  68                
ARNPW200           8018138183054Coperchio x curva 200 mm PVC-M1            00001000010000199999940000000190000000001900000001EURPCE0320130301                  68                
ARNPW300           8018138183061Coperchio x curva 300 mm PVC-M1            00001000010000199999940000000365000000003650000001EURPCE0320130301                  68                
ARNPW400           8018138184068Coperchio x curva 400 mm PVC-M1            000010000100001999999B0000000590000000005900000001EURPCE0620130301                  68                
ARNPW600           8018138184075Coperchio x curva 600 mm PVC-M1            000010000100001999999B0000000790000000007900000001EURPCE0620130301                  68                
ARNPZ100           8018138183290Distanziatore 100 mm Acciaio-EPOXY         00016000010000199999940000000109000000001090000001EURPCE0320130301                  68                
ARNPZ150           8018138183306Distanziatore 150 mm Acciaio-EPOXY         00016000010000199999940000000121000000001210000001EURPCE0320130301                  68                
ARNPZ200           8018138183313Distanziatore 200 mm Acciaio-EPOXY         00020000010000199999940000000131000000001310000001EURPCE0320130301                  68                
ARNPZ300           8018138183320Distanziatore 300 mm Acciaio-EPOXY         00030000010000199999940000000160000000001600000001EURPCE0320130301                  68                
ARNPZC2020         8018138145564Pozzetto e coperchio 20x20cm GRIGIO        00072000720007299999940000000077700000000777000001EURPCE0320130301                  76                
ARNPZC2020GDO      8018138179897Pozzetto e coperchio 20x20cm GRIGIO        00072000720007299999940000000078800000000788000001EURPCE0320130301                  76                
ARNPZC3030         8018138145571Pozzetto e coperchio 30x30cm GRIGIO        00048000480004899999940000000185000000001850000001EURPCE0320130301                  76                
ARNPZC4040         8018138145588Pozzetto e coperchio 40x40cm GRIGIO        00012000120001299999940000000400000000004000000001EURPCE0320130301                  76                
ARNPZG2020GDO      8018138180299Pozzetto e coperchio 20x20cm GRIGIO        00072000720007299999940000000098800000000988000001EURPCE0320130301                  76                
ARNPZS2020         8018138143669Pozzetto e coperchio 20x20cm GRIGIO        00008000080000899999940000000070000000000700000001EURPCE0320130301                  76                
ARNPZS3030         8018138143676Pozzetto e coperchio 30x30cm GRIGIO        00004000040000499999940000000170000000001700000001EURPCE0320130301                  76                
ARNRCF16           8018138167702Curva flex IP65 tubo-tubo D16              00040000400004099999940000000019800000000198000001EURPCE0320130301                  86                
ARNRCF20           8018138167719Curva flex IP65 tubo-tubo D20              00030000300003099999940000000021800000000218000001EURPCE0320130301                  86                
ARNRCF25           8018138167726Curva flex IP65 tubo-tubo D25              00025000250002599999940000000026000000000260000001EURPCE0320130301                  86                
ARNRCF32           8018138167733Curva flex IP65 tubo-tubo D32              00005000050000599999940000000035400000000354000001EURPCE0320130301                  86                
ARNRCF40           8018138167740Curva flex IP65 tubo-tubo D40              00005000050000599999940000000056200000000562000001EURPCE0320130301                  86                
ARNRCF50           8018138167757Curva flex IP65 tubo-tubo D50              00005000050000599999940000000060300000000603000001EURPCE0320130301                  86                
ARNRCS16           8018138167528Curva 90° IP67 tubo-tubo D 16              00075000750007599999940000000009900000000099000001EURPCE0320130301                  86                
ARNRCS20           8018138167535Curva 90° IP67 tubo-tubo D 20              00040000400004099999940000000012000000000120000001EURPCE0320130301                  86                
ARNRCS25           8018138167542Curva 90° IP67 tubo-tubo D 25              00030000300003099999940000000014600000000146000001EURPCE0320130301                  86                
ARNRCS32           8018138167559Curva 90° IP67 tubo-tubo D 32              00020000200002099999940000000017700000000177000001EURPCE0320130301                  86                
ARNRCS40           8018138167566Curva 90° IP67 tubo-tubo D 40              00005000050000599999940000000040600000000406000001EURPCE0320130301                  86                
ARNRGS12M16        8018138141450Raccordo IP65 guaina 12-scatola M16        00250002500025099999940000000010000000000100000001EURPCE0320130301                  85                
ARNRGS12P11        8018138141535Raccordo IP65 guaina12-scatola PG11        00200002000020099999940000000010000000000100000001EURPCE0320130301                  85                
ARNRGS14P13        8018138154351RaccordoIP65 guaina14-scatolaPG13,5        00200002000020099999940000000011400000000114000001EURPCE0320130301                  85                
ARNRGS16M20        8018138141467Raccordo IP65 guaina 16-scatola M20        00150001500015099999940000000011400000000114000001EURPCE0320130301                  85                
ARNRGS16P16        8018138141566Raccordo IP65 guaina16-scatola PG16        00150001500015099999940000000011800000000118000001EURPCE0320130301                  85                
ARNRGS20M25        8018138141474Raccordo IP65 guaina 20-scatola M25        00125001250012599999940000000013100000000131000001EURPCE0320130301                  85                
ARNRGS20P21        8018138141573Raccordo IP65 guaina20-scatola PG21        00100001000010099999940000000013400000000134000001EURPCE0320130301                  85                
ARNRGS25M32        8018138141481Raccordo IP65 guaina 25-scatola M32        00080000800008099999940000000016400000000164000001EURPCE0320130301                  85                
ARNRGS25P29        8018138141580Raccordo IP65 guaina25-scatola PG29        00080000800008099999940000000016700000000167000001EURPCE0320130301                  85                
ARNRGS32M40        8018138141498Raccordo IP65 guaina 32-scatola M40        00040000400004099999940000000019400000000194000001EURPCE0320130301                  85                
ARNRGS32P36        8018138141597Raccordo IP65 guaina32-scatola PG36        00050000500005099999940000000020000000000200000001EURPCE0320130301                  85                
ARNRGS40M50        8018138141504Raccordo IP65 guaina 40-scatola M50        00030000300003099999940000000040800000000408000001EURPCE0320130301                  85                
ARNRGS50M63        8018138141511Raccordo IP65 guaina 50-scatola M63        00020000200002099999940000000050500000000505000001EURPCE0320130301                  85                
ARNRGT16           8018138167467Raccordo IP65 guaina-tubo D16              00040000400004099999940000000010400000000104000001EURPCE0320130301                  85                
ARNRGT1620         8018138141856Raccordo IP65 guaina 16 - tubo 20          00200002000020099999940000000011000000000110000001EURPCE0320130301                  85                
ARNRGT20           8018138167474Raccordo IP65 guaina-tubo D20              00150001500015099999940000000012000000000120000001EURPCE0320130301                  85                
ARNRGT2025         8018138141863Raccordo IP65 guaina 20 - tubo 25          00150001500015099999940000000012500000000125000001EURPCE0320130301                  85                
ARNRGT25           8018138167481Raccordo IP65 guaina-tubo D25              00080000800008099999940000000014600000000146000001EURPCE0320130301                  85                
ARNRGT2532         8018138141870Raccordo IP65 guaina 25 - tubo 32          00100001000010099999940000000015200000000152000001EURPCE0320130301                  85                
ARNRGT32           8018138167498Raccordo IP65 guaina-tubo D32              00050000500005099999940000000019800000000198000001EURPCE0320130301                  85                
ARNRGT3240         8018138141887Raccordo IP65 guaina 32 - tubo 40          00080000800008099999940000000018800000000188000001EURPCE0320130301                  85                
ARNRGT40           8018138167504Raccordo IP65 guaina-tubo D40              00040000400004099999940000000025000000000250000001EURPCE0320130301                  85                
ARNRGT4050         8018138141894Raccordo IP65 guaina 40 - tubo 50          00020000200002099999940000000021900000000219000001EURPCE0320130301                  85                
ARNRGT50           8018138167511Raccordo IP65 guaina-tubo D50              00020000200002099999940000000029200000000292000001EURPCE0320130301                  85                
ARNRTS16           8018138167641Manicotto IP67 tubo-scatola D16            00040000400004099999940000000006800000000068000001EURPCE0320130301                  86                
ARNRTS20           8018138167658Manicotto IP67 tubo-scatola D20            00150001500015099999940000000007800000000078000001EURPCE0320130301                  86                
ARNRTS25           8018138167665Manicotto IP67 tubo-scatola D25            00100001000010099999940000000009300000000093000001EURPCE0320130301                  86                
ARNRTS32           8018138167672Manicotto IP67 tubo-scatola D32            00070000700007099999940000000011400000000114000001EURPCE0320130301                  86                
ARNRTS40           8018138167689Manicotto IP67 tubo-scatola D40            00050000500005099999940000000021800000000218000001EURPCE0320130301                  86                
ARNRTS50           8018138167696Manicotto IP67 tubo-scatola D50            00025000250002599999940000000026000000000260000001EURPCE0320130301                  86                
ARNRTT16           8018138167580Manicotto IP67 tubo-tubo D 16              00030000300003099999940000000006200000000062000001EURPCE0320130301                  86                
ARNRTT20           8018138167597Manicotto IP67 tubo-tubo D 20              00080000800008099999940000000006800000000068000001EURPCE0320130301                  86                
ARNRTT25           8018138167603Manicotto IP67 tubo-tubo D 25              00070000700007099999940000000007600000000076000001EURPCE0320130301                  86                
ARNRTT32           8018138167610Manicotto IP67 tubo-tubo D 32              00060000600006099999940000000010300000000103000001EURPCE0320130301                  86                
ARNRTT40           8018138167627Manicotto IP67 tubo-tubo D 40              00030000300003099999940000000017700000000177000001EURPCE0320130301                  86                
ARNRTT50           8018138167634Manicotto IP67 tubo-tubo D 50              00020000200002099999940000000020300000000203000001EURPCE0320130301                  86                
ARNS0820           8018138165272Fissatubo fascetta d 8-20mm GRIGIO         01200012000120099999940000000168000000001680000100EURPCE0320130301                  83                
ARNS0820BL         8018138178340Fissatubo fascetta d 8-20mm GRIGIO         01000010000100099999940000000168000000001680000100EURPCE0320130301                  83                
ARNS0820GDO        8018138178371Fissatubo fascetta d 8-20mm GRIGIO         01000010000100099999940000000168000000001680000100EURPCE0320130301                  83                
ARNS0825.8         8018138179101Supporto x fascetta d 8-25mm GRIGIO        00080000800008099999940000000090000000000900000100EURPCE0320130301                  83                
ARNS0832           8018138165289Fissatubo fascetta d 8-32mm GRIGIO         01200012000120099999940000000189000000001890000100EURPCE0320130301                  83                
ARNS0832BL         8018138177770Fissatubo fascetta d 8-32mm GRIGIO         01000010000100099999940000000189000000001890000100EURPCE0320130301                  83                
ARNS0832GDO        8018138178388Fissatubo fascetta d 8-32mm GRIGIO         01000010000100099999940000000189000000001890000100EURPCE0320130301                  83                
ARNS08BOX          8018138179118Box in lamiera x SFP08                     00001000010000199999940000000870000000008700000001EURPCE0320130301                  36                
ARNS10070.2        8018138108996Scatola derivazione x KB ANTRACITE         00001000010000199999940000000205000000002050000001EURPCE0320130301                  13                
ARNS10070.3        8018138147971Scatola derivaz. x KB BIANCO PURO          00006000060000699999940000000190000000001900000001EURPCE0320130301                  13                
ARNS10070.5        8018138109009Scatola derivazione x KB MARRONE           00001000010000199999940000000205000000002050000001EURPCE0320130301                  13                
ARNS10070.6        8018138109016Scatola derivazione xKB BIANCA             00006000060000699999940000000190000000001900000001EURPCE0320130301                  13                
ARNS10070.AC       8018138171761Scatola derivazione KC-KB ACERO            00006000010000199999940000000239000000002390000001EURPCE0320130301                  10                
ARNS10070.AL       8018138171778Scatola derivazione KC-KB ALLUMINIO        00006000010000199999940000000199000000001990000001EURPCE0320130301                  10                
ARNS10070.CL       8018138171785Scatola derivazione KC-KB CILIEGIO         00006000010000199999940000000239000000002390000001EURPCE0320130301                  10                
ARNS10070.FG       8018138171792Scatola derivazione KC-KB FAGGIO           00006000010000199999940000000239000000002390000001EURPCE0320130301                  10                
ARNS10070.FR       8018138186369Scatola derivazione KC-KB FRASSINO         00006000010000199999940000000239000000002390000001EURPCE0320130301                  10                
ARNS10070.QC       8018138171808Scatola derivazione KC-KB QUERCIA          00006000010000199999940000000239000000002390000001EURPCE0320130301                  10                
ARNS10070.WG       8018138183535Scatola derivazione KC-KB WENGE'           00006000010000199999940000000239000000002390000001EURPCE0320130301                  10                
ARNS14.16          8018138100372Collare fissatubi d 14-16 mm Ac-SZ         00080000800008099999940000000007700000000077000001EURPCE0320130301                  83                
ARNS1650           8018138165296Fissatubo fascetta d 16-50mm GRIGIO        00600006000060099999940000000262500000002625000100EURPCE0320130301                  83                
ARNS1650BL         8018138178357Fissatubo fascetta d 16-50mm GRIGIO        00800008000080099999940000000262500000002625000100EURPCE0320130301                  83                
ARNS1650GDO        8018138178395Fissatubo fascetta d 16-50mm GRIGIO        00800008000080099999940000000262500000002625000100EURPCE0320130301                  83                
ARNS1663           8018138165302Fissatubo fascetta d 16-63mm GRIGIO        00600006000060099999940000000336000000003360000100EURPCE0320130301                  83                
ARNS16BOX          8018138179125Box in lamiera x SFP16                     00001000010000199999940000000990000000009900000001EURPCE0320130301                  36                
ARNS19.23          8018138100389Collare fissatubi d 19-23 mm Ac-SZ         00060000600006099999940000000008700000000087000001EURPCE0320130301                  83                
ARNS1BOX           8018138800371Box x calcestruzzo x SFP1/SFP1X            00001000010000199999940000000530000000005300000001EURPCE0320130301                  36                
ARNS2036           8018138109085Fissatubo d 12-20mm GRIGIO                 00800008000080099999940000000367500000003675000100EURPCE0320130301                  83                
ARNS2036BL         8018138178463Fissatubo d 12-20mm GRIGIO                 00768007680076899999940000000367500000003675000100EURPCE0320130301                  83                
ARNS2036GDO        8018138185140Fissatubo d 12-20mm GRIGIO                 00768007680076899999940000000367500000003675000100EURPCE0320130301                  83                
ARNS2037           8018138109092Fissatubo d 20-32mm GRIGIO                 00480004800048099999940000000535500000005355000100EURPCE0320130301                  83                
ARNS2037BL         8018138178470Fissatubo d 20-32mm GRIGIO                 00480004800048099999940000000535500000005355000100EURPCE0320130301                  83                
ARNS2037GDO        8018138178364Fissatubo d 20-32mm GRIGIO                 00480004800048099999940000000535500000005355000100EURPCE0320130301                  83                
ARNS2039           8018138109115Fissatubo d 32-50mm GRIGIO                 00240002400024099999940000000997500000009975000100EURPCE0320130301                  83                
ARNS24.29          8018138100396Collare fissatubi d 24-29 mm Ac-SZ         00040000400004099999940000000009300000000093000001EURPCE0320130301                  83                
ARNS2BOX           8018138800388Box x calcestruzzo x SFP2/SFP2X            00001000010000199999940000000530000000005300000001EURPCE0320130301                  36                
ARNS30.38          8018138100402Collare fissatubi d 30-38 mm Ac-SZ         00040000400004099999940000000010600000000106000001EURPCE0320130301                  83                
ARNS3250.8         8018138179132Supporto x fascetta d32-50mm GRIGIO        00040000400004099999940000000150000000001500000100EURPCE0320130301                  83                
ARNS39.48          8018138100433Collare fissatubi d 39-48 mm Ac-SZ         00030000300003099999940000000014900000000149000001EURPCE0320130301                  83                
ARNS48.52          8018138100525Collare fissatubi d 48-52 mm Ac-SZ         00020000200002099999940000000017700000000177000001EURPCE0320130301                  83                
ARNS582BL          8018138182484Supporto cavi fino 8mm GRIGIO              01000010000100099999940000000150000000001500000100EURPCE0320130301                  83                
ARNSA80-30         8018138909166Attacco x soffitto Ac-SZ                   00012000120001299999940000000039000000000390000001EURPCE0320130301                  62                
ARNSA-BOX          8018138188615Adattatore per SBOX                        00008000080000899999940000000035000000000350000001EURPCE0320130301                  36                
ARNSC16            8018138174175Collare x tubi d16mm GRIGIO                01600016000160099999940000000073500000000735000100EURPCE0320130301                  83                
ARNSC16BL          8018138177749Collare x tubi d16mm GRIGIO                00800008000080099999940000000073500000000735000100EURPCE0320130301                  83                
ARNSC20            8018138174182Collare x tubi d20mm GRIGIO                01600016000160099999940000000078800000000788000100EURPCE0320130301                  83                
ARNSC20BL          8018138177756Collare x tubi d20mm GRIGIO                00800008000080099999940000000078800000000788000100EURPCE0320130301                  83                
ARNSC25            8018138174199Collare x tubi d25mm GRIGIO                01200012000120099999940000000094500000000945000100EURPCE0320130301                  83                
ARNSC25BL          8018138177763Collare x tubi d25mm GRIGIO                00600006000060099999940000000094500000000945000100EURPCE0320130301                  83                
ARNSC32            8018138174205Collare x tubi d32mm GRIGIO                00960009600096099999940000000105000000001050000100EURPCE0320130301                  83                
ARNSC32BL          8018138178494Collare x tubi d32mm GRIGIO                00300003000030099999940000000105000000001050000100EURPCE0320130301                  83                
ARNSC40            8018138174212Collare x tubi d40mm GRIGIO                00360003600036099999940000000304500000003045000100EURPCE0320130301                  83                
ARNSC50            8018138174229Collare x tubi d50mm GRIGIO                00240002400024099999940000000409500000004095000100EURPCE0320130301                  83                
ARNSD503.3         8018138185720Derivazione 134x95x51 BIANCO PURO          00024000240002499999940000000077000000000770000001EURPCE0320130301                  29                
ARNSD503.6         8018138107432Derivazione 134x95x51 BIANCA               00024000240002499999940000000077000000000770000001EURPCE0320130301                  29                
ARNSD504.6         8018138129434Derivazione 159x93x51 BIANCA               00005000050000599999940000000082000000000820000001EURPCE0320130301                  29                
ARNSD553.3         8018138143331Derivazione 66x66x31 BIANCO PURO           00016000160001699999940000000030000000000300000001EURPCE0320130301                  29                
ARNSD553.5         8018138107517Derivazione 66x66x31 MARRONE               00010000100001099999940000000031000000000310000001EURPCE0320130301                  29                
ARNSD553.52        8018138176445Derivazione 66x66x31 x LEGNO SCURO         00004000040000499999940000000031000000000310000001EURPCE0320130301                  29                
ARNSD553.53        8018138176452Derivazione 66x66x31 x LEGNO CHIARO        00004000040000499999940000000031000000000310000001EURPCE0320130301                  29                
ARNSD553.6         8018138107524Derivazione 66x66x31 BIANCA                00016000160001699999940000000030000000000300000001EURPCE0320130301                  29                
ARNSD554.3         8018138143348Derivazione 90x90x36 BIANCO PURO           00008000080000899999940000000042500000000425000001EURPCE0320130301                  29                
ARNSD554.6         8018138107548Derivazione 90x90x36 BIANCA                00008000080000899999940000000042500000000425000001EURPCE0320130301                  29                
ARNSF502-45.2      8018138185232Placca autoportante 2mod ANTRACITE         00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSF502-45.3      8018138185225Placca autoportante 2mod BIANCO P.         00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSF502-45.AL     8018138185249Placca autoportante 2mod ALLUMINIO         00010000100001099999940000000060000000000600000001EURPCE0320130301                  13                
ARNSF502-45.AR     8018138185263Placca autoportante 2mod ARANCIONE         00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSF502-45.AZ     8018138188660Placca autoportante 2mod AZZURRO           00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSF502-45.RS     8018138185256Placca autoportante 2mod ROSSA             00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSF502-45.VQ     8018138185270Placca autoportante 2mod VERDE A.          00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSF504L.2        8018138185171Placca autoportante 4mod ANTRACITE         00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSF504L.3        8018138185164Placca autoportante 4mod BIANCO P.         00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSF504L.AL       8018138185188Placca autoportante 4mod ALLUMINIO         00010000100001099999940000000060000000000600000001EURPCE0320130301                  13                
ARNSF504L.AR       8018138185201Placca autoportante 4mod ARANCIONE         00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSF504L.AZ       8018138186468Placca autoportante 4mod AZZURRO           00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSF504L.RS       8018138185195Placca autoportante 4mod ROSSA             00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSF504L.VQ       8018138185218Placca autoportante 4mod VERDE A.          00010000100001099999940000000022000000000220000001EURPCE0320130301                  13                
ARNSFA100.3        8018138175028Angolo esterno x KB103 BIANCO PURO         00006000060000699999940000000060000000000600000001EURPCE0320130301                  12                
ARNSFA100.6        8018138108125Angolo esterno x KB103 BIANCO              00006000060000699999940000000060000000000600000001EURPCE0320130301                  12                
ARNSFA100.AC       8018138171815Angolo esterno KB103 ACERO                 00030000010000199999940000000099000000000990000001EURPCE0320130301                  10                
ARNSFA100.AL       8018138171822Angolo esterno KB103 ALLUMINIO             00030000010000199999940000000099000000000990000001EURPCE0320130301                  10                
ARNSFA100.CL       8018138171839Angolo esterno KB103 CILIEGIO              00030000010000199999940000000099000000000990000001EURPCE0320130301                  10                
ARNSFA100.FG       8018138171846Angolo esterno KB103 FAGGIO                00030000010000199999940000000099000000000990000001EURPCE0320130301                  10                
ARNSFA100.QC       8018138171853Angolo esterno KB103 QUERCIA               00030000010000199999940000000099000000000990000001EURPCE0320130301                  10                
ARNSFA100V.2       8018138108132Angolo est.variab.x KB103 ANTRACITE        00004000040000499999940000000089000000000890000001EURPCE0320130301                  12                
ARNSFA100V.3       8018138147773Angolo est.variab.x KB103 BIAN.PURO        00010000100001099999940000000081000000000810000001EURPCE0320130301                  12                
ARNSFA100V.6       8018138108149Angolo est. variab. x KB103 BIANCO         00010000100001099999940000000081000000000810000001EURPCE0320130301                  12                
ARNSFA100V.AC      8018138171860Angolo esterno var. KB103 ACERO            00025000010000199999940000000110000000001100000001EURPCE0320130301                  10                
ARNSFA100V.AL      8018138171877Angolo esterno var. KB103 ALLUMINIO        00025000010000199999940000000119000000001190000001EURPCE0320130301                  10                
ARNSFA100V.CL      8018138171884Angolo esterno var. KB103 CILIEGIO         00025000010000199999940000000110000000001100000001EURPCE0320130301                  10                
ARNSFA100V.FG      8018138171891Angolo esterno var. KB103 FAGGIO           00025000010000199999940000000110000000001100000001EURPCE0320130301                  10                
ARNSFA100V.QC      8018138171907Angolo esterno var. KB103 QUERCIA          00025000010000199999940000000110000000001100000001EURPCE0320130301                  10                
ARNSFA100V.WG      8018138183474Angolo esterno var. KB103 WENGE'           00025000010000199999940000000110000000001100000001EURPCE0320130301                  10                
ARNSFA70.3         8018138175004Angolo esterno x KB72 BIANCO PURO          00010000100001099999940000000032000000000320000001EURPCE0320130301                  11                
ARNSFA70.5         8018138108170Angolo esterno x KB72 MARRONE              00010000100001099999940000000035000000000350000001EURPCE0320130301                  11                
ARNSFA70.6         8018138108187Angolo esterno x KB72 BIANCO               00010000100001099999940000000032000000000320000001EURPCE0320130301                  11                
ARNSFA70V.2        8018138108200Angolo est.variab. x KB72 ANTRACITE        00004000040000499999940000000049000000000490000001EURPCE0320130301                  11                
ARNSFA70V.3        8018138147520Angolo est.variab. x KB72 BIANCO P.        00004000040000499999940000000045000000000450000001EURPCE0320130301                  11                
ARNSFA70V.5        8018138108217Angolo est. variab. x KB72 MARRONE         00004000040000499999940000000049000000000490000001EURPCE0320130301                  11                
ARNSFA70V.6        8018138108224Angolo est. variab. x KB72 BIANCO          00004000040000499999940000000045000000000450000001EURPCE0320130301                  11                
ARNSFA70V.AL       8018138175752Angolo esterno variab.H70 ALLUMINIO        00004000040000499999940000000099000000000990000001EURPCE0320130301                  10                
ARNSFA70V.CL       8018138183979Angolo esterno variab.H70 CILIEGIO         00004000040000499999940000000099000000000990000001EURPCE0320130301                  10                
ARNSFA70V.FR       8018138183887Angolo esterno variab.H70 FRASSINO         00004000040000499999940000000099000000000990000001EURPCE0320130301                  10                
ARNSFA70V.WG       8018138183801Angolo esterno variab.H70 WENGE'           00004000040000499999940000000099000000000990000001EURPCE0320130301                  10                
ARNSFE100L.2       8018138108231Terminale SX per KB103 ANTRACITE           00010000100001099999940000000033000000000330000001EURPCE0320130301                  12                
ARNSFE100L.3       8018138147810Terminale SX per KB103 BIANCO PURO         00010000100001099999940000000030000000000300000001EURPCE0320130301                  12                
ARNSFE100L.6       8018138108248Terminale SX per KB103 BIANCO              00010000100001099999940000000030000000000300000001EURPCE0320130301                  12                
ARNSFE100L.AC      8018138171914Terminale SX KB103 ACERO                   00060000010000199999940000000049500000000495000001EURPCE0320130301                  10                
ARNSFE100L.AL      8018138171921Terminale SX KB103 ALLUMINIO               00060000010000199999940000000049000000000490000001EURPCE0320130301                  10                
ARNSFE100L.CL      8018138171938Terminale SX KB103 CILIEGIO                00060000010000199999940000000049500000000495000001EURPCE0320130301                  10                
ARNSFE100L.FG      8018138171945Terminale SX KB103 FAGGIO                  00060000010000199999940000000049500000000495000001EURPCE0320130301                  10                
ARNSFE100L.QC      8018138171952Terminale SX KB103 QUERCIA                 00060000010000199999940000000049500000000495000001EURPCE0320130301                  10                
ARNSFE100L.WG      8018138183504Terminale SX KB103 WENGE'                  00060000010000199999940000000049500000000495000001EURPCE0320130301                  10                
ARNSFE100R.2       8018138108255Terminale DX per KB103 ANTRACITE           00010000100001099999940000000033000000000330000001EURPCE0320130301                  12                
ARNSFE100R.3       8018138147834Terminale DX per KB103 BIANCO PURO         00010000100001099999940000000030000000000300000001EURPCE0320130301                  12                
ARNSFE100R.6       8018138108262Terminale DX per KB103 BIANCO              00010000100001099999940000000030000000000300000001EURPCE0320130301                  12                
ARNSFE100R.AC      8018138171969Terminale DX KB103 ACERO                   00060000010000199999940000000049500000000495000001EURPCE0320130301                  10                
ARNSFE100R.AL      8018138171976Terminale DX KB103 ALLUMINIO               00060000010000199999940000000049000000000490000001EURPCE0320130301                  10                
ARNSFE100R.CL      8018138171983Terminale DX KB103 CILIEGIO                00060000010000199999940000000049500000000495000001EURPCE0320130301                  10                
ARNSFE100R.FG      8018138171990Terminale DX KB103 FAGGIO                  00060000010000199999940000000049500000000495000001EURPCE0320130301                  10                
ARNSFE100R.QC      8018138172003Terminale DX KB103 QUERCIA                 00060000010000199999940000000049500000000495000001EURPCE0320130301                  10                
ARNSFE100R.WG      8018138183498Terminale DX KB103 WENGE'                  00060000010000199999940000000049500000000495000001EURPCE0320130301                  10                
ARNSFE70L.2        8018138108286Terminale SX x KB72 ANTRACITE              00010000100001099999940000000023000000000230000001EURPCE0320130301                  11                
ARNSFE70L.3        8018138147568Terminale SX x KB72 BIANCO PURO            00010000100001099999940000000021000000000210000001EURPCE0320130301                  11                
ARNSFE70L.5        8018138108293Terminale SX x KB72 MARRONE                00010000100001099999940000000023000000000230000001EURPCE0320130301                  11                
ARNSFE70L.6        8018138108309Terminale SX x KB72 BIANCA                 00010000100001099999940000000021000000000210000001EURPCE0320130301                  11                
ARNSFE70L.AL       8018138175769Terminale sinistro H70 ALLUMINIO           00010000100001099999940000000039000000000390000001EURPCE0320130301                  10                
ARNSFE70L.CL       8018138184006Terminale sinistro H70 CILIEGIO            00010000100001099999940000000049000000000490000001EURPCE0320130301                  10                
ARNSFE70L.FR       8018138183917Terminale sinistro H70 FRASSINO            00010000100001099999940000000049000000000490000001EURPCE0320130301                  10                
ARNSFE70L.WG       8018138183832Terminale sinistro H70 WENGE'              00010000100001099999940000000049000000000490000001EURPCE0320130301                  10                
ARNSFE70R.2        8018138108323Terminale DX x KB72 ANTRACITE              00010000100001099999940000000023000000000230000001EURPCE0320130301                  11                
